Datetime,open_time,Open,High,Low,Close,Volume
2024-03-01 00:00:00,1709222400000,62768.01,62862.55,62690.28,62707.55,188.71577
2024-03-01 00:03:00,1709222580000,62707.54,62791.0,62601.57,62740.0,309.04414
2024-03-01 00:06:00,1709222760000,62740.0,62879.3,62691.1,62780.01,165.00976
2024-03-01 00:09:00,1709222940000,62780.01,62807.94,62751.82,62771.2,142.98226
2024-03-01 00:12:00,1709223120000,62771.2,62771.2,62590.21,62630.66,161.52244
2024-03-01 00:15:00,1709223300000,62630.65,62636.8,62501.1,62516.7,192.9035
2024-03-01 00:18:00,1709223480000,62516.69,62516.7,62405.0,62514.48,254.55388
2024-03-01 00:21:00,1709223660000,62514.49,62528.09,62311.0,62381.08,208.27298
2024-03-01 00:24:00,1709223840000,62381.09,62416.71,62227.08,62312.34,188.35498
2024-03-01 00:27:00,1709224020000,62312.34,62370.0,62153.9,62223.15,226.76504
2024-03-01 00:30:00,1709224200000,62223.15,62425.0,62176.18,62377.57,156.6664
2024-03-01 00:33:00,1709224380000,62377.57,62458.08,62332.06,62439.54,171.38026
2024-03-01 00:36:00,1709224560000,62439.55,62457.06,62179.47,62202.22,119.5193
2024-03-01 00:39:00,1709224740000,62202.23,62207.6,61501.0,61791.1,1018.09179
2024-03-01 00:42:00,1709224920000,61791.11,61946.42,61613.01,61855.88,351.56254
2024-03-01 00:45:00,1709225100000,61855.88,62101.1,61711.1,62038.82,263.29174
2024-03-01 00:48:00,1709225280000,62038.81,62068.8,61954.46,62043.66,138.58056
2024-03-01 00:51:00,1709225460000,62043.66,62200.1,61991.1,62160.0,185.5383
2024-03-01 00:54:00,1709225640000,62160.01,62218.98,62154.0,62179.19,116.30303
2024-03-01 00:57:00,1709225820000,62179.19,62284.53,62162.04,62171.97,139.83493
2024-03-01 01:00:00,1709226000000,62171.97,62362.77,62130.88,62359.33,197.8316
2024-03-01 01:03:00,1709226180000,62359.34,62406.7,62243.4,62243.41,175.10534
2024-03-01 01:06:00,1709226360000,62243.41,62281.08,62041.36,62100.0,183.7451
2024-03-01 01:09:00,1709226540000,62100.01,62158.17,61991.1,62007.13,152.5005
2024-03-01 01:12:00,1709226720000,62007.12,62065.12,61918.87,61931.62,136.92451
2024-03-01 01:15:00,1709226900000,61931.62,62025.29,61777.75,61923.94,136.58583
2024-03-01 01:18:00,1709227080000,61923.94,62137.84,61891.11,62053.64,207.62875
2024-03-01 01:21:00,1709227260000,62053.64,62053.65,61811.1,61857.9,137.50087
2024-03-01 01:24:00,1709227440000,61857.89,62041.1,61857.89,61933.48,131.28951
2024-03-01 01:27:00,1709227620000,61933.48,61933.48,61661.1,61717.43,198.23819
2024-03-01 01:30:00,1709227800000,61717.43,61771.75,61500.64,61528.56,334.25176
2024-03-01 01:33:00,1709227980000,61528.56,61680.41,61230.16,61367.18,551.26686
2024-03-01 01:36:00,1709228160000,61367.18,61592.82,61121.73,61209.96,368.93077
2024-03-01 01:39:00,1709228340000,61209.97,61315.21,60733.4,60901.91,583.37152
2024-03-01 01:42:00,1709228520000,60901.92,61020.0,60588.01,60960.32,845.41033
2024-03-01 01:45:00,1709228700000,60960.31,61201.1,60842.75,60979.77,467.6316
2024-03-01 01:48:00,1709228880000,60979.76,61011.1,60557.0,60888.29,457.29819
2024-03-01 01:51:00,1709229060000,60888.28,60910.52,60501.0,60811.42,362.19149
2024-03-01 01:54:00,1709229240000,60811.42,61090.0,60760.0,61064.11,268.58116
2024-03-01 01:57:00,1709229420000,61064.1,61113.37,60887.56,60982.35,271.71107
2024-03-01 02:00:00,1709229600000,60982.35,61173.89,60911.39,60912.36,227.75628
2024-03-01 02:03:00,1709229780000,60912.36,61049.97,60890.0,61040.53,160.14608
2024-03-01 02:06:00,1709229960000,61040.53,61318.25,61024.3,61318.25,253.5268
2024-03-01 02:09:00,1709230140000,61315.65,61482.99,61251.49,61409.89,348.60524
2024-03-01 02:12:00,1709230320000,61409.88,61510.0,61343.12,61384.98,125.47402
2024-03-01 02:15:00,1709230500000,61384.97,61458.86,61279.0,61299.72,124.85285
2024-03-01 02:18:00,1709230680000,61299.72,61420.0,61200.0,61420.0,110.16803
2024-03-01 02:21:00,1709230860000,61419.99,61420.0,61204.27,61270.0,105.19658
2024-03-01 02:24:00,1709231040000,61270.0,61289.42,61187.91,61191.11,149.61444
2024-03-01 02:27:00,1709231220000,61191.1,61191.11,60945.22,60960.82,204.37793
2024-03-01 02:30:00,1709231400000,60960.82,60981.1,60820.7,60870.01,164.52786
2024-03-01 02:33:00,1709231580000,60870.0,60870.01,60560.75,60646.34,294.28971
2024-03-01 02:36:00,1709231760000,60646.33,60831.96,60634.75,60681.09,199.0084
2024-03-01 02:39:00,1709231940000,60681.09,60871.1,60665.31,60713.26,124.50968
2024-03-01 02:42:00,1709232120000,60713.26,60760.0,60610.0,60745.86,115.85793
2024-03-01 02:45:00,1709232300000,60745.87,60775.78,60572.82,60632.6,175.74221
2024-03-01 02:48:00,1709232480000,60632.61,60689.47,60500.14,60511.1,178.2095
2024-03-01 02:51:00,1709232660000,60511.1,60720.0,60364.7,60517.37,271.59524
2024-03-01 02:54:00,1709232840000,60517.37,60733.71,60492.67,60669.61,165.52907
2024-03-01 02:57:00,1709233020000,60669.61,60841.1,60661.11,60800.0,117.30653
2024-03-01 03:00:00,1709233200000,60799.99,60915.06,60701.1,60710.16,147.67797
2024-03-01 03:03:00,1709233380000,60710.17,60750.25,60605.93,60731.11,113.19689
2024-03-01 03:06:00,1709233560000,60731.1,60839.99,60685.35,60747.31,107.27201
2024-03-01 03:09:00,1709233740000,60747.31,60844.47,60736.09,60844.47,64.18029
2024-03-01 03:12:00,1709233920000,60844.46,60881.1,60772.28,60844.55,67.88095
2024-03-01 03:15:00,1709234100000,60844.55,61106.86,60844.54,61080.24,151.03742
2024-03-01 03:18:00,1709234280000,61080.23,61225.69,61005.98,61212.78,175.3161
2024-03-01 03:21:00,1709234460000,61212.79,61242.21,61101.78,61171.09,157.31005
2024-03-01 03:24:00,1709234640000,61171.1,61171.1,60978.57,60994.26,132.79629
2024-03-01 03:27:00,1709234820000,60994.26,61139.91,60990.08,61138.62,128.05557
2024-03-01 03:30:00,1709235000000,61138.63,61278.18,61051.11,61275.45,142.50468
2024-03-01 03:33:00,1709235180000,61275.44,61428.21,61244.97,61428.21,167.21705
2024-03-01 03:36:00,1709235360000,61428.21,61434.31,61281.02,61281.02,227.08992
2024-03-01 03:39:00,1709235540000,61281.03,61445.91,61265.51,61345.77,118.47873
2024-03-01 03:42:00,1709235720000,61345.76,61349.57,61250.49,61312.91,96.90199
2024-03-01 03:45:00,1709235900000,61312.9,61330.0,61213.13,61318.75,86.58501
2024-03-01 03:48:00,1709236080000,61318.75,61587.64,61318.74,61564.6,188.89113
2024-03-01 03:51:00,1709236260000,61564.59,61631.1,61470.0,61619.66,166.07063
2024-03-01 03:54:00,1709236440000,61619.66,61635.95,61523.14,61601.11,119.88548
2024-03-01 03:57:00,1709236620000,61601.1,61601.11,61510.0,61600.0,76.71001
2024-03-01 04:00:00,1709236800000,61599.99,61666.66,61558.64,61570.63,132.25826
2024-03-01 04:03:00,1709236980000,61570.64,61609.29,61521.73,61588.14,142.6622
2024-03-01 04:06:00,1709237160000,61588.13,61759.9,61588.13,61701.24,211.65769
2024-03-01 04:09:00,1709237340000,61701.24,61908.05,61695.45,61869.04,209.95329
2024-03-01 04:12:00,1709237520000,61869.04,61996.99,61869.03,61958.63,181.08146
2024-03-01 04:15:00,1709237700000,61958.62,61996.98,61897.33,61975.13,195.58775
2024-03-01 04:18:00,1709237880000,61975.13,62041.1,61870.71,61971.11,210.20329
2024-03-01 04:21:00,1709238060000,61971.1,62135.04,61931.1,62125.22,244.14456
2024-03-01 04:24:00,1709238240000,62125.23,62227.0,62085.47,62134.95,237.75445
2024-03-01 04:27:00,1709238420000,62134.95,62250.0,62111.22,62140.58,219.01196
